Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
NAB,National Australia Bank Limited,Financial Services,Banks - Diversified,2023,2.364,19.8977679661702,0.007000395625272,17.22002178755508,1.67,12.40238925527195,0.18675778952169,1.4734943260626476,0.0569591685516204,90110072016.03516,1059083000000.0,29.31924819946289
CSL,CSL Limited,Healthcare,Biotechnology,2023,4.55,32.601758626343546,0.0605508638295521,2.0326489397509317,3.62924,62.1493161379636,0.3374454931831971,8.673746458549545,0.0128341744431188,136923761594.66309,36234000000.0001,282.7793884277344
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,2023,2.552,8.491658315553137,0.1275568630548096,2.087286214712549,2.614287,18.721335360249007,0.2205911388406255,5.62632716295808,0.0547186999190541,242241516001.16016,101296000000.0,47.77684783935547
WBC,Westpac Banking Corporation,Financial Services,Banks - Diversified,2023,2.053,21.08503799212348,0.0069869699565147,14.196142764581811,1.42,10.833048088865285,0.1842627605668816,1.0547881267630863,0.0638482096722252,76466865249.68994,1029774000000.0,22.24024772644043
CBA,Commonwealth Bank of Australia,Financial Services,Banks - Diversified,2023,5.917,42.837919055179086,0.0079829258964423,17.48388312649198,4.5,18.215199429097964,0.1289923612070362,2.5159797067439995,0.0417519740596154,180214594434.6592,1252423000000.0,107.77933502197266
MQG,Macquarie Group Limited,Financial Services,Capital Markets,2023,13.537,86.10033753929218,0.0133600775513571,11.372544420336595,7.05,13.143569440180151,0.6313345639798696,2.066478536515868,0.0396235482991237,68514095878.18359,387872000000.0,177.92449951171875
GMG,Goodman Group,Real Estate,Real Estate - Diversified,2023,0.83,9.429169282276629,0.0649222547779183,1.3330078558430607,0.3,30.350464510630413,0.1398664846507291,2.671591185786944,0.0119090692337157,48154896805.57251,24027200000.0,25.19088554382324
ANZ,ANZ Group Holdings Limited,Financial Services,Banks - Diversified,2023,2.371,23.367046815549955,0.0064270293394884,15.791065027064857,1.75,10.349539954267138,0.1357363995430713,1.050143795459754,0.0713157492392177,72979743065.47559,1105643000000.0,24.538759231567383
FMG,Fortescue Ltd,Basic Materials,Other Industrial Metals & Mining,2023,1.56,5.842556984226071,0.1700333120703103,1.5678408712079064,1.75,16.97384760929988,0.1885675809766822,4.53212563300576,0.0660896042910298,81528408012.14062,28217999999.9999,26.47920227050781
WES,Wesfarmers Limited,Consumer Cyclical,Home Improvement Retail,2023,2.178,7.295970652058933,0.0928576810065546,3.205651491365777,1.91,25.43528918501869,0.4207413546296994,7.59296637649403,0.0344777417358127,62877354563.74707,26546000000.0,55.3980598449707
TLS,Telstra Group Limited,Communication Services,Telecom Services,2023,0.167,1.3334313905214952,0.0428168513624553,2.52744723843736,0.17,22.63578397785118,0.352350707321948,2.83492345475889,0.0449714519652755,43677665667.470215,45029000000.0,3.780175924301148
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,2023,0.875,18.11665615252113,0.0299850074962518,1.574097241967586,3.3973880000000003,33.12405177525112,0.117375047416051,1.599828636109062,0.1172178201266474,55032505253.515625,55361000000.0,28.983545303344727
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,2023,6.203,147.0464635145037,0.0971327584042337,1.837897800891003,5.8738,20.666805982551285,0.138601048778839,0.8718074168245549,0.0458188317134176,47588479654.78516,103549000000.0,128.19619750976562
WTC,WiseTech Global Limited,Technology,Software - Application,2023,0.648,5.664184857754185,0.0798164447453547,1.4033254156769597,0.15,116.13009888448832,0.0964417362521627,13.285637027564372,0.0019932944491137,25169639348.720703,2658600000.0,75.25230407714844
ALL,Aristocrat Leisure Limited,Consumer Cyclical,Gambling,2023,2.225,10.702664033279744,0.1331313001840271,1.6238682148644832,0.64,18.09119921052054,0.245543521053258,3.7610185761453847,0.0158994683597829,25296987045.011475,10922300000.0,40.2529182434082
TCL,Transurban Group,Industrials,Infrastructure Operations,2023,0.021,4.050862973116053,0.0016967126193001,2.8403614457831323,0.615,636.3682519821893,0.4919936373276776,3.2989842856486864,0.0460200743743795,41481428407.74658,37720000000.0,13.363733291625977
