Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,2022,0.281,3.4090055183937404,0.0318123242632337,2.242110922866645,0.35,23.65094996007736,0.3587686302489534,1.949517800109977,0.052663914283611,124012141445.25586,168469300000.0,6.645916938781738
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,2022,9.57,137.87688671029002,0.0319390615244893,1.7741712227081656,2.7,4.342153104744236,0.3077434809223318,0.301387753987493,0.0649750606752556,159155036799.1914,1148437000000.0,41.55440521240234
0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,2022,0.75,9.92011806588673,0.0052755141413887,15.92512837680956,2.118041,55.91947937011719,0.0692503202470021,4.227732900862308,0.0505021630830099,751830424959.0469,2949286000000.0,41.93960952758789
0002.HK,CLP HOLDINGS,Utilities,Utilities - Regulated Electric,2022,0.37,43.29593044139976,0.0045037411132671,2.0400885093436134,3.1,139.1427839124525,0.2518620829908569,1.189091665723375,0.0602142500156528,130068791855.15137,236026000000.0,51.48283004760742
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate - Development,2022,-0.56,49.6019353150633,-0.0076890121535998,1.4241170917171353,0.6000000000000001,-39.33430399213518,0.0900313423076055,0.444079653257126,0.027239037244508,67315814238.981445,221745000000.0,22.027210235595703
0008.HK,PCCW,Communication Services,Telecom Services,2022,0.0205,1.47783376670998,0.0041340570562989,7.447238542890717,0.3725,141.3993370242235,0.5432655894976016,1.9614428052011343,0.1285064844696138,22438905691.500977,95064000000.0,2.898686408996582
0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,2022,2.65,40.75669456193856,0.0597607032911231,1.0883060662928723,2.8200000000000003,13.971962119048497,0.0342653421773673,0.908456880849599,0.0761633143812657,78905839299.95361,94527000000.0,37.02569961547852
0011.HK,HANG SENG BANK,Financial Services,Banks - Regional,2022,5.53,84.96815232589974,0.0060859146073813,11.590432380404756,3.9,20.83066557458253,0.0203527091109689,1.3557265572353565,0.0338560532519026,216825415478.32227,1854446000000.0,115.1935806274414
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate Services,2022,2.0,68.16806611343702,0.0119981989458536,1.4595040363887046,0.86,6.098259925842285,0.2041459560154325,0.1789183784587434,0.0705119173713489,16607024970.16211,226534000000.0,12.19651985168457
0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,2022,1.91,67.73839632438789,0.0174389852583098,1.5349469219358427,1.8,12.261746191853629,0.1667377640197059,0.3457409164853307,0.0768575994167504,113385042079.53123,529790000000.0,23.41993522644043
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,2022,-1.12,78.30887844611256,-0.0097092267024713,1.4286484995983744,1.44,-19.39584357397897,0.2289011035119372,0.2774058987169014,0.0662881344041757,22310091998.40808,119165000000.0,21.723344802856445
0016.HK,SHK PPT,Real Estate,Real Estate - Development,2022,8.82,207.71084423291512,0.0316506246540534,1.330984731616629,4.95,10.930291865688332,0.1569801638749478,0.4641316374761243,0.0513457917402625,279382182652.2031,807567000000.0,96.4051742553711
0018.HK,ORIENTAL E H,Communication Services,Publishing,2022,0.0695,0.7737801928337893,0.0810267614175309,1.1039845927292915,0.05,7.121063393654582,0.0034273002223638,0.6396052915835011,0.1010276725064289,1186763953.1373978,2057888000.0,0.4949139058589935
0017.HK,NEW WORLD DEV,Real Estate,Real Estate - Diversified,2022,0.5,104.9461945813572,0.0057820712104864,2.138748553690192,2.06,37.89759826660156,0.317470213101468,0.1805572770779329,0.1087140132474009,47686549111.58789,627180100000.0,18.94879913330078
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,2022,2.81,321.4199073365121,0.00964886858678,1.3761204800972349,2.75,19.272845665330987,0.1685711394175257,0.1684920413559838,0.0507785774776987,43547779040.70215,434766000000.0,54.15669631958008
0023.HK,BANK OF E ASIA,Financial Services,Banks - Regional,2022,1.32,40.33177393186032,0.0049375584062526,8.301440580745867,0.99,6.490525332364169,0.0176626171664825,0.2124254056663935,0.115553050268554,22533449756.874023,882825000000.0,8.567493438720703
0028.HK,TIAN AN,Real Estate,Real Estate - Development,2022,1.04,18.336381418771204,0.0310378154170644,1.7905700534477826,0.2,3.408893713584313,0.1221102753159924,0.1933450979863652,0.0564135195947451,5197583935.665527,49248247000.0,3.545249462127685
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,2022,2.13,35.20771207031613,0.0324091205514412,1.7686568378738323,0.4499999999999999,2.9669528835816004,0.2076289000998487,0.1794950387405865,0.0712069297773168,1903896157.634735,19887087000.0,6.319609642028809
0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,2022,-0.787,14.609267029284911,-0.0424124692019642,1.2558888327088509,0.3,-63.77984789759867,0.0996145913212001,3.4358151024820485,0.0059767218285106,219596466567.8711,80961332000.0,50.19474029541016
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,2022,0.131,8.979916198297042,0.0116002602164175,1.2340097711427789,0.01,68.16208089580972,0.035501964842483,0.9943558937715276,0.0011199170691293,2122514305.32074,2685457000.0,8.929232597351074
0031.HK,CHINA AEROSPACE,Technology,Electronic Components,2022,-0.0389,2.48254281603494,-0.0078553223578832,1.5601792315177334,0.025,-10.236035888789552,0.1048324401401614,0.1603927205210826,0.0627853916138328,1228398766.2984924,15265828000.0,0.3981817960739136
0032.HK,CROSS-HAR(HOLD),Consumer Defensive,Education & Training Services,2022,-1.19,18.40766539303653,-0.056791106684884,1.113086489863138,0.42,-8.30131017861246,0.0035068269223901,0.5366546436837016,0.0425163219873301,3681620438.5375977,7840136000.0,9.878559112548828
0034.HK,KOWLOON DEV,Real Estate,Real Estate - Development,2022,0.927825,14.106142444863508,0.0254352255852324,2.576962649210046,0.747664,7.038689487095366,0.5023522685810962,0.4629665480049283,0.1144850011761259,8530429482.421387,47765804000.0,6.530672073364258
0035.HK,FE CONSORT INTL,Real Estate,Real Estate - Development,2022,0.492,5.777288947323403,0.0275025419530826,3.0599957610112645,0.24,3.1544515272466147,0.5803243306603808,0.268636408107018,0.1546401565645754,4710088375.62735,54804316000.0,1.5519901514053345
0038.HK,FIRST TRACTOR,Industrials,Farm & Heavy Construction Machinery,2022,0.6061,15.20152306942389,0.0524225473981854,1.9995726955265585,0.143815,5.440942487038513,0.1686991635088603,0.2169358442791233,0.043609967833515,1292522189.3119812,12991565481.68,3.297755241394043
0040.HK,GOLD PEAK,Technology,Electronic Components,2022,0.198,2.39762744020206,0.016738633948757,2.913303032864737,0.0,2.7890136145582103,0.4423242935770107,0.2303213111524895,0.0,505547907.6977577,9373704000.0,0.5522246956825256
0041.HK,Great Eagle Holdings Limited,Real Estate,Real Estate - Diversified,2022,-0.25,75.99078186985521,-0.001606958732624,1.5859119629284468,0.8300000000000001,-60.110633850097656,0.2942135090640085,0.1977563342914588,0.0552314921229965,11236525988.79541,112886533000.0,15.027658462524414
0046.HK,Computer And Technologies Holdings Limited,Technology,Information Technology Services,2022,0.1902,2.1493572311495672,0.0692876829430057,1.2970783286273326,0.175,11.426903597313272,0.0177261271352562,1.0111846614936877,0.0805191112484049,527483467.4835205,678490000.0,2.1733970642089844
0045.HK,"The Hongkong and Shanghai Hotels, Limited",Consumer Cyclical,Lodging,2022,-0.3,21.60605619194824,-0.0086248033792262,1.5664728682170543,0.0,-26.71515146891276,0.3178452130573868,0.3709397665854699,0.0,13359766633.342283,56581000000.0,8.014545440673828
0050.HK,HK FERRY (HOLD),Real Estate,Real Estate - Diversified,2022,3.65,20.260410033195125,0.1724222094249996,1.043828309244185,0.25,1.9771731389711984,0.0024321064058829,0.3561962440750653,0.0346419589336375,2571116032.1685486,7534621000.0,7.216681957244873
0052.HK,FAIRWOOD HOLD,Consumer Cyclical,Restaurants,2022,0.3291,5.513079589048497,0.0182435219238872,3.272402959245964,0.5800000000000001,38.37192214321344,0.5075284477432627,2.290589020774693,0.0459289541987551,1636021139.8420334,2337268000.0,12.628199577331545
0053.HK,GUOCO GROUP,Industrials,Conglomerates,2022,0.77,22.35884048712593,0.0150498782489948,1.7290450624925733,2.0,78.5665140523539,0.3516513076751228,2.705695577333082,0.0330599190855251,19906340795.85937,16602327000.0,60.4962158203125
0057.HK,CHEN HSONG HOLD,Industrials,Specialty Industrial Machinery,2022,0.338,5.089431088131601,0.0481583319542675,1.371961943488881,0.161,4.6826664512679415,0.0062589643979773,0.3109858907844275,0.1017222486170817,997968961.8358763,4429327000.0,1.5827412605285645
0062.HK,TRANSPORT INT'L,Industrials,Railroads,2022,1.17,31.611349266145663,0.022968422419478,1.4859425723067758,0.5,8.516782776922243,0.2081137854459433,0.3152233637705146,0.0501774482858022,5071013068.474365,23904428000.0,9.964635848999023
0064.HK,GET NICE,Financial Services,Capital Markets,2022,0.0062,0.5952304418589925,0.0076463643211506,1.133382425552068,0.01,21.94248620540865,0.012060635789762,0.2285558750131293,0.0735059468971608,1314548028.817139,7871061000.0,0.1360434144735336
0066.HK,MTR CORPORATION,Industrials,Railroads,2022,1.59,28.865743610664914,0.030044545540707,1.8180054693405665,1.44,23.925867620504125,0.1467098364013807,1.3178988225526358,0.0378527705545922,236280808300.17188,327081000000.0,38.04212951660156
0069.HK,SHANGRI-LA ASIA,Consumer Cyclical,Lodging,2022,-0.0444,1.4773273711392785,-0.0125475066066379,2.32896507798393,0.0,-138.81640391306834,0.4888671442432528,4.172026088562304,0.0,21919996122.375977,12633506000.0,6.163448333740234
0071.HK,MIRAMAR HOTEL,Real Estate,Real Estate Services,2022,0.69,28.896266064605765,0.0225984360562786,1.0558577039456905,0.47,15.953884954037877,0.004662741980352,0.380955123879128,0.0426955203859268,7606212480.010986,21245010000.0,11.008180618286133
0077.HK,AMS TRANSPORT,Industrials,Railroads,2022,-0.0676,0.1685796609527212,-0.055715666754551,7.198651803049804,0.03,-7.654648913434272,0.7468202521978672,3.069494051795956,0.0579761380655425,140702537.8402748,329979000.0,0.5174542665481567
0081.HK,CH OVS G OCEANS,Real Estate,Real Estate - Development,2022,0.907,8.412217930306623,0.0174267512535593,4.833589911882928,0.36,3.28973477835692,0.2635732846405345,0.3546971165856337,0.1206519450384021,10620410585.441896,180781831000.0,2.9837894439697266
0083.HK,SINO LAND,Real Estate,Real Estate - Development,2022,0.76,17.45999337282271,0.0320442080251812,1.1311733239912038,0.57,11.19073190187153,0.0284891850590733,0.4871110809618475,0.067019745140581,76669968991.7002,178983875791.0,8.504956245422363
0085.HK,CE HUADA TECH,Technology,Semiconductors,2022,0.2618,0.8008517976229445,0.1309991988660873,2.454644962161528,0.019,4.553785298597367,0.1605418130276699,1.488641212658039,0.0159371774425869,2419972371.3272247,4056750000.0,1.1921809911727903
0087.HK,SWIRE PACIFIC B,Industrials,Conglomerates,2022,2.81,90.22442750342834,0.00964886858678,1.3761204800972349,0.55,2.795031231917521,0.1685711394175257,0.0870500149351437,0.0700276745144878,22498598660.077515,434766000000.0,7.854037761688232
0086.HK,SUN HUNG KAI CO,Financial Services,Credit Services,2022,-0.782,11.411036183024304,-0.0357639689896469,1.6792350945566812,0.26,-3.081789711857086,0.3722780306048976,0.2111955054754301,0.1078856279956783,4721930230.970215,42914700000.0,2.409959554672241
0088.HK,TAI CHEUNG HOLD,Real Estate,Real Estate - Development,2022,0.005,10.811278969816524,0.0004157765702734,1.0447253718376943,0.24,757.126522064209,0.0199859496193493,0.3501558530577155,0.0633975941948699,2337745521.769226,6974900000.0,3.785632610321045
0089.HK,TAI SANG LAND,Real Estate,Real Estate Services,2022,1.25,30.743134522577424,0.0296785463540876,1.3311781962278062,0.26,2.951485252380371,0.2122229310748798,0.1200058687173242,0.0704729931590368,1061317262.2200316,12133849000.0,3.689356565475464
0097.HK,HENDERSON INV,Consumer Cyclical,Department Stores,2022,0.002,0.4167582703532611,0.0020218358269308,1.947244094488189,0.02,137.4107152223587,0.3012535382126971,0.6594264589201019,0.0727745284188205,837471602.8285294,2473000000.0,0.2748214304447174
