Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
CBA,ASX:CBA,Commonwealth Bank (ASX:CBA),https://www.listcorp.com/asx/cba/commonwealth-bank,"	262834000000",157.06,0,0,Financials
BHP,ASX:BHP,BHP Group Limited (ASX:BHP),https://www.listcorp.com/asx/bhp/bhp-group-limited,"	206508000000",40.7,0,0,Materials
CSL,ASX:CSL,CSL Limited (ASX:CSL),https://www.listcorp.com/asx/csl/csl-limited,"	135975000000",280.82,0,0,Health Care
NAB,ASX:NAB,National Australia Bank Limited (ASX:NAB),https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	119272000000",38.8,0,0,Financials
WBC,ASX:WBC,Westpac Banking Corp (ASX:WBC),https://www.listcorp.com/asx/wbc/westpac,"	112612000000",32.76,0,0,Financials
ANZ,ASX:ANZ,ANZ Group Holdings Limited (ASX:ANZ),https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	92772500000",31.15,0,0,Financials
MQG,ASX:MQG,Macquarie Group Limited (ASX:MQG),https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	87974400000",230.82,0,0,Financials
WES,ASX:WES,Wesfarmers Limited (ASX:WES),https://www.listcorp.com/asx/wes/wesfarmers-limited,"	84006600000",74.06,0,0,Consumer Discretionary
GMG,ASX:GMG,Goodman Group (ASX:GMG),https://www.listcorp.com/asx/gmg/goodman-group,"	69907100000",36.57,0,0,Real Estate
FMG,ASX:FMG,Fortescue Ltd (ASX:FMG),https://www.listcorp.com/asx/fmg/fortescue-ltd,"	60009000000",19.49,0,0,Materials
TLS,ASX:TLS,Telstra Group Limited (ASX:TLS),https://www.listcorp.com/asx/tls/telstra-group-limited,"	46102200000",3.99,0,0,Communication Services
WDS,ASX:WDS,Woodside Energy Group Ltd (ASX:WDS),https://www.listcorp.com/asx/wds/woodside-energy-group,"	45683900000",24.06,0,0,Energy
RIO,ASX:RIO,Rio Tinto (ASX:RIO),https://www.listcorp.com/asx/rio/rio-tinto,"	44464300000",119.78,0,0,Materials
WTC,ASX:WTC,WiseTech Global Limited (ASX:WTC),https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	43939300000",131.37,0,0,Information Technology
ALL,ASX:ALL,Aristocrat Leisure Limited (ASX:ALL),https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	42596600000",67.68,0,0,Consumer Discretionary
TCL,ASX:TCL,Transurban Group (ASX:TCL),https://www.listcorp.com/asx/tcl/transurban-group,"	39669500000",12.78,0,0,Industrials
WOW,ASX:WOW,Woolworths Group Limited (ASX:WOW),https://www.listcorp.com/asx/wow/woolworths-group,"	36550000000",29.92,0,0,Consumer Staples
REA,ASX:REA,REA Group Ltd (ASX:REA),https://www.listcorp.com/asx/rea/rea-group,"	33218200000",251.43,0,0,Communication Services
QBE,ASX:QBE,QBE Insurance Group Limited (ASX:QBE),https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	29957600000",19.9,0,0,Financials
PME,ASX:PME,Pro Medicus Limited (ASX:PME),https://www.listcorp.com/asx/pme/pro-medicus,"	28016200000",268.1,0,0,Health Care
XRO,ASX:XRO,Xero Limited (ASX:XRO),https://www.listcorp.com/asx/xro/xero-limited,"	27206500000",178.04,0,0,Information Technology
BXB,ASX:BXB,Brambles Limited (ASX:BXB),https://www.listcorp.com/asx/bxb/brambles-limited,"	27010400000",19.49,0,0,Industrials
COL,ASX:COL,Coles Group Limited (ASX:COL),https://www.listcorp.com/asx/col/coles-group-limited,"	25465500000",19,0,0,Consumer Staples
SUN,ASX:SUN,Suncorp Group Limited (ASX:SUN),https://www.listcorp.com/asx/sun/suncorp-group-limited,"	25242800000",19.84,0,0,Financials
JHX,ASX:JHX,James Hardie Industries plc (ASX:JHX),https://www.listcorp.com/asx/jhx/james-hardie-industries-plc,"	23624600000",55.01,0,0,Materials
RMD,ASX:RMD,ResMed Inc (ASX:RMD),https://www.listcorp.com/asx/rmd/resmed-inc,"	22648000000",37.2,0,0,Health Care
STO,ASX:STO,Santos Limited (ASX:STO),https://www.listcorp.com/asx/sto/santos-limited,"	21402800000",6.59,0,0,Energy
IAG,ASX:IAG,Insurance Australia Group Limited (ASX:IAG),https://www.listcorp.com/asx/iag/insurance-australia-group-limited,"	20294100000",8.58,0,0,Financials
SGH,ASX:SGH,SGH Ltd (ASX:SGH),https://www.listcorp.com/asx/sgh/sgh-ltd,"	19885900000",48.86,0,0,Industrials
COH,ASX:COH,Cochlear Limited (ASX:COH),https://www.listcorp.com/asx/coh/cochlear-limited,"	19731800000",301.45,0,0,Health Care
FPH,ASX:FPH,Fisher & Paykel Healthcare Corporation Limited (ASX:FPH),https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare-corporation-limited,"	19406600000",33.11,0,0,Health Care
CPU,ASX:CPU,Computershare Limited (ASX:CPU),https://www.listcorp.com/asx/cpu/computershare-limited,"	19330100000",33,0,0,Industrials
SCG,ASX:SCG,Scentre Group Limited (ASX:SCG),https://www.listcorp.com/asx/scg/scentre-group-limited,"	19090400000",3.67,0,0,Real Estate
NST,ASX:NST,Northern Star Resources Limited (ASX:NST),https://www.listcorp.com/asx/nst/northern-star-resources-limited,"	18797300000",16.35,0,0,Materials
ORG,ASX:ORG,Origin Energy Limited (ASX:ORG),https://www.listcorp.com/asx/org/origin-energy-limited,"	18312800000",10.63,0,0,Utilities
VAS,ASX:VAS,Vanguard Australian Shares Index ETF (ASX:VAS),https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	17650700000",104.73,0,0,Unclassified
REH,ASX:REH,Reece Limited (ASX:REH),https://www.listcorp.com/asx/reh/reece-limited,"	16492000000",25.53,0,0,Industrials
S32,ASX:S32,South32 Limited (ASX:S32),https://www.listcorp.com/asx/s32/south32-limited,"	16401500000",3.63,0,0,Materials
CAR,ASX:CAR,CAR Group Limited (ASX:CAR),https://www.listcorp.com/asx/car/car-group-limited,"	15118700000",40.03,0,0,Communication Services
SHL,ASX:SHL,Sonic Healthcare Limited (ASX:SHL),https://www.listcorp.com/asx/shl/sonic-healthcare,"	13725100000",28.57,0,0,Health Care
QAN,ASX:QAN,Qantas Airways Limited (ASX:QAN),https://www.listcorp.com/asx/qan/qantas-airways-limited,"	13664200000",9.03,0,0,Industrials
ASX,ASX:ASX,ASX Limited (ASX:ASX),https://www.listcorp.com/asx/asx/asx-limited,"	13254200000",68.36,0,0,Financials
SOL,ASX:SOL,Washington H. Soul Pattinson and Company Limited (ASX:SOL),https://www.listcorp.com/asx/sol/washington-h.-soul-pattinson-and-company-limited,"	12959200000",35.24,0,0,Financials
AIA,ASX:AIA,Auckland International Airport Limited (ASX:AIA),https://www.listcorp.com/asx/aia/auckland-international-airport-limited,"	12378200000",7.36,0,0,Industrials
SGP,ASX:SGP,Stockland (ASX:SGP),https://www.listcorp.com/asx/sgp/stockland,"	12246200000",5.13,0,0,Real Estate
TLC,ASX:TLC,The Lottery Corporation Limited (ASX:TLC),https://www.listcorp.com/asx/tlc/the-lottery-corporation-limited,"	11485000000",5.16,0,0,Consumer Discretionary
IFT,ASX:IFT,Infratil Limited (ASX:IFT),https://www.listcorp.com/asx/ift/infratil-limited,"	10979900000",11.36,0,0,Financials
MPL,ASX:MPL,Medibank Private Limited (ASX:MPL),https://www.listcorp.com/asx/mpl/medibank-private-limited,"	10602900000",3.85,0,0,Financials
NXT,ASX:NXT,NEXTDC Limited (ASX:NXT),https://www.listcorp.com/asx/nxt/nextdc-limited,"	10406800000",16.25,0,0,Information Technology
JBH,ASX:JBH,JB Hi-Fi Limited (ASX:JBH),https://www.listcorp.com/asx/jbh/jb-hi-fi-limited,"	10364900000",94.8,0,0,Consumer Discretionary
TNE,ASX:TNE,Technology One Limited (ASX:TNE),https://www.listcorp.com/asx/tne/technology-one-limited,"	10325200000",31.54,0,0,Information Technology
VGS,ASX:VGS,Vanguard MSCI Index International Shares ETF (ASX:VGS),https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	10235300000",139.83,0,0,Unclassified
EVN,ASX:EVN,Evolution Mining Limited (ASX:EVN),https://www.listcorp.com/asx/evn/evolution-mining-limited,"	10105900000",5.08,0,0,Materials
IVV,ASX:IVV,iShares S&P 500 ETF (ASX:IVV),https://www.listcorp.com/asx/ivv/ishares-s-and-p-500-etf,"	10089000000",63.04,0,0,Unclassified
VCX,ASX:VCX,Vicinity Centres (ASX:VCX),https://www.listcorp.com/asx/vcx/vicinity-centres,"	9696350000",2.13,0,0,Real Estate
AMC,ASX:AMC,Amcor Limited (ASX:AMC),https://www.listcorp.com/asx/amc/amcor-limited,"	9627760000",15.94,0,0,Materials
AFI,ASX:AFI,Australian Foundation Investment Company Limited (ASX:AFI),https://www.listcorp.com/asx/afi/australian-foundation-investment-company-limited,"	9606610000",7.66,0,0,Financials
BSL,ASX:BSL,BlueScope Steel Limited (ASX:BSL),https://www.listcorp.com/asx/bsl/bluescope-steel-limited,"	9495900000",21.65,0,0,Materials
APA,ASX:APA,APA Group (ASX:APA),https://www.listcorp.com/asx/apa/apa-group,"	9414300000",7.27,0,0,Utilities
TWE,ASX:TWE,Treasury Wine Estates Limited (ASX:TWE),https://www.listcorp.com/asx/twe/treasury-wine-estates-limited,"	9355750000",11.53,0,0,Consumer Staples
