Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
RAD,ASX:RAD,Radiopharm Theranostics Limited (ASX:RAD),https://www.listcorp.com/asx/rad/radiopharm-theranostics-limited,67361800,0.031,0,0,Health Care
GO2,ASX:GO2,The GO2 People Limited (ASX:GO2),https://www.listcorp.com/asx/go2/the-go2-people-limited,67199900,0.672,0,0,Industrials
FHE,ASX:FHE,Frontier Energy Limited (ASX:FHE),https://www.listcorp.com/asx/fhe/frontier-energy-limited,66793200,0.13,0,0,Utilities
NTD,ASX:NTD,NTAW Holdings Limited (ASX:NTD),https://www.listcorp.com/asx/ntd/ntaw-holdings-limited,66244500,0.4,0,0,Consumer Discretionary
NVA,ASX:NVA,Nova Minerals Limited (ASX:NVA),https://www.listcorp.com/asx/nva/nova-minerals-limited,65935000,0.24,0,0,Materials
LBL,ASX:LBL,Laserbond Limited (ASX:LBL),https://www.listcorp.com/asx/lbl/laserbond-limited,65643200,0.56,0,0,Industrials
VHM,ASX:VHM,VHM Limited (ASX:VHM),https://www.listcorp.com/asx/vhm/vhm-limited,65138500,0.395,0,0,Materials
CUE,ASX:CUE,Cue Energy Resources Limited (ASX:CUE),https://www.listcorp.com/asx/cue/cue-energy-resources-limited,64977000,0.093,0,0,Energy
ARL,ASX:ARL,Ardea Resources Limited (ASX:ARL),https://www.listcorp.com/asx/arl/ardea-resources-limited,64896900,0.325,0,0,Materials
SIO,ASX:SIO,Simonds Group Limited (ASX:SIO),https://www.listcorp.com/asx/sio/simonds-group-limited,64783200,0.18,0,0,Consumer Discretionary
LNE,ASX:CLNE,VanEck Global Clean Energy ETF (ASX:CLNE),https://www.listcorp.com/asx/clne/vaneck-global-clean-energy-etf,64770000,5.56,0,0,Unclassified
EWC,ASX:EWC,Energy World Corporation Limited (ASX:EWC),https://www.listcorp.com/asx/ewc/energy-world-corporation-limited,64657300,0.021,0,0,Utilities
PEX,ASX:PEX,Peel Mining Limited (ASX:PEX),https://www.listcorp.com/asx/pex/peel-mining,63919300,0.11,0,0,Materials
SEG,ASX:SEG,Sports Entertainment Group Limited (ASX:SEG),https://www.listcorp.com/asx/seg/sports-entertainment-group-limited,63814900,0.23,0,0,Communication Services
WKT,ASX:WKT,Walkabout Resources Limited (ASX:WKT),https://www.listcorp.com/asx/wkt/walkabout-resources-limited,63769800,0.095,0,0,Materials
KSN,ASX:KSN,Kingston Resources Limited (ASX:KSN),https://www.listcorp.com/asx/ksn/kingston-resources,63647200,0.09,0,0,Materials
AOR,ASX:BAOR,Aoris International Fund (Managed Fund) Class B (ASX:BAOR),https://www.listcorp.com/asx/baor/aoris-international-fund-managed-fund-class-b,63563500,2.54,0,0,Unclassified
REX,ASX:REX,Regional Express Holdings Limited (ASX:REX),https://www.listcorp.com/asx/rex/regional-express-holdings-limited,63401200,0.565,0,0,Industrials
WAA,ASX:WAA,WAM Active Limited (ASX:WAA),https://www.listcorp.com/asx/waa/wam-active-limited,63379900,0.83,0,0,Financials
IIQ,ASX:IIQ,INOVIQ Ltd (ASX:IIQ),https://www.listcorp.com/asx/iiq/inoviq-ltd,63012600,0.565,0,0,Health Care
CNB,ASX:CNB,Carnaby Resources Limited (ASX:CNB),https://www.listcorp.com/asx/cnb/carnaby-resources-limited,62757100,0.365,0,0,Materials
CAF,ASX:CAF,Centrepoint Alliance Limited (ASX:CAF),https://www.listcorp.com/asx/caf/centrepoint-alliance-limited,62647800,0.315,0,0,Financials
RSM,ASX:RSM,Russell Investments Australian Semi-Government Bond ETF (ASX:RSM),https://www.listcorp.com/asx/rsm/russell-investments-australian-semi-government-bond-etf,62623500,20.22,0,0,Unclassified
RKN,ASX:RKN,Reckon Limited (ASX:RKN),https://www.listcorp.com/asx/rkn/reckon-limited,62312200,0.55,0,0,Information Technology
DUB,ASX:DUB,Dubber Corporation Limited (ASX:DUB),https://www.listcorp.com/asx/dub/dubber-corporation,62282200,0.024,0,0,Information Technology
MCM,ASX:MCM,MC Mining Limited (ASX:MCM),https://www.listcorp.com/asx/mcm/mc-mining-limited,61895000,0.13,0,0,Energy
NMT,ASX:NMT,Neometals Limited (ASX:NMT),https://www.listcorp.com/asx/nmt/neometals-limited,61554000,0.08,0,0,Materials
ELS,ASX:ELS,Elsight Limited (ASX:ELS),https://www.listcorp.com/asx/els/elsight-limited,60648500,0.4,0,0,Information Technology
KYP,ASX:KYP,Kinatico Limited (ASX:KYP),https://www.listcorp.com/asx/kyp/kinatico-limited,60492900,0.1425,0,0,Information Technology
WTZ,ASX:SWTZ,Switzer Dividend Growth Fund (Quoted Managed Fund) (ASX:SWTZ),https://www.listcorp.com/asx/swtz/switzer-dividend-growth-fund-quoted-managed-fund,60445100,2.52,0,0,Unclassified
CHL,ASX:CHL,Camplify Holdings Limited (ASX:CHL),https://www.listcorp.com/asx/chl/camplify-holdings-limited,60417800,0.845,0,0,Industrials
TGN,ASX:TGN,Tungsten Mining NL (ASX:TGN),https://www.listcorp.com/asx/tgn/tungsten-mining,59767500,0.076,0,0,Materials
IVR,ASX:IVR,Investigator Resources Limited (ASX:IVR),https://www.listcorp.com/asx/ivr/investigator-resources-limited,58788500,0.038,0,0,Materials
LKO,ASX:LKO,Lakes Blue Energy NL (ASX:LKO),https://www.listcorp.com/asx/lko/lakes-blue-energy,58757600,1.0,0,0,Energy
LMG,ASX:LMG,Latrobe Magnesium Limited (ASX:LMG),https://www.listcorp.com/asx/lmg/latrobe-magnesium-limited,58713400,0.025,0,0,Materials
HRN,ASX:HRN,Horizon Gold Limited (ASX:HRN),https://www.listcorp.com/asx/hrn/horizon-gold-limited,58660200,0.405,0,0,Materials
GL1,ASX:GL1,Global Lithium Resources Limited (ASX:GL1),https://www.listcorp.com/asx/gl1/global-lithium-resources-limited,58632300,0.225,0,0,Materials
BOL,ASX:BOL,Boom Logistics Limited (ASX:BOL),https://www.listcorp.com/asx/bol/boom-logistics-limited,58540700,1.39,0,0,Industrials
E25,ASX:E25,Element 25 Limited (ASX:E25),https://www.listcorp.com/asx/e25/element-25-limited,58276800,0.265,0,0,Materials
AZL,ASX:AZL,Arizona Lithium Limited (ASX:AZL),https://www.listcorp.com/asx/azl/arizona-lithium-limited,58159600,0.013,0,0,Materials
PEQ,ASX:JPEQ,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (ASX:JPEQ),https://www.listcorp.com/asx/jpeq/jpmorgan-us-100q-equity-premium-income-active-etf-managed-fund,58091200,63.78,0,0,Unclassified
88E,ASX:88E,88 Energy Limited (ASX:88E),https://www.listcorp.com/asx/88e/88-energy-limited,57867600,0.002,0,0,Energy
HAS,ASX:HAS,Hastings Technology Metals Limited (ASX:HAS),https://www.listcorp.com/asx/has/hastings-technology-metals,57864400,0.32,0,0,Materials
KGL,ASX:KGL,KGL Resources Limited (ASX:KGL),https://www.listcorp.com/asx/kgl/kgl-resources-limited,57682100,0.089,0,0,Materials
HOT,ASX:MHOT,VanEck Morningstar Wide Moat (AUD Hedged) ETF (ASX:MHOT),https://www.listcorp.com/asx/mhot/vaneck-morningstar-wide-moat-aud-hedged-etf,57376300,143.44,0,0,Unclassified
NTI,ASX:NTI,Neurotech International Limited (ASX:NTI),https://www.listcorp.com/asx/nti/neurotech-international-limited,57316700,0.055,0,0,Health Care
SPD,ASX:SPD,Southern Palladium Limited (ASX:SPD),https://www.listcorp.com/asx/spd/southern-palladium-limited,57298500,0.63,0,0,Materials
HRZ,ASX:HRZ,Horizon Minerals Limited (ASX:HRZ),https://www.listcorp.com/asx/hrz/horizon-minerals-limited,57186800,0.04,0,0,Materials
