Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,2021,8.7,137.22206327291306,0.027592321878558843,1.883611302977858,2.5,4.875751802290994,0.33955926778659873,0.30912697031502034,0.058935797696687296,162466625280.58398,1213526000000.0,42.41904067993164
0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,2021,0.269,3.7412098818672987,0.03051097357369722,2.0536395939334398,0.35,38.77566029148031,0.3327373422805375,2.788042624650102,0.033554947403992126,194634928452.39844,168067400000.0,10.430652618408203
0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,2021,0.62,11.05904644560933,0.004704965180147393,14.304971055775063,1.710431,62.60953103342364,0.07560805006458889,3.510059337542087,0.044062934698338684,695869263667.7188,2957939000000.0,38.817909240722656
0002.HK,CLP HOLDINGS,Utilities,Utilities - Regulated Electric,2021,3.36,46.27877207239477,0.035982802980705476,1.892596421722214,3.1,20.276603244599844,0.24366057987815304,1.472152000819714,0.045501657081777926,172125484087.8418,239809000000.0,68.12938690185547
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate - Development,2021,1.97,53.016496089629946,0.023724871895940088,1.5248501896295763,0.4,11.413310869091054,0.1448364209696492,0.42409861213946387,0.01779025276785072,68712457138.83594,253700000000.0,22.484222412109375
0008.HK,PCCW,Communication Services,Telecom Services,2021,0.1346,1.8554306286062452,0.013425596722668564,6.085970804805581,0.3236,22.163272435385263,0.5223353109113487,1.6078081410371816,0.10847497735237405,23092948329.71704,94223000000.0,2.9831764698028564
0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,2021,2.88,40.71446304910051,0.06510858500169664,1.086864821879286,2.8200000000000003,13.8358473777771,0.036456565999321344,0.9786998885369895,0.07077027087183597,84918853228.68896,94304000000.0,39.84724044799805
0011.HK,HANG SENG BANK,Financial Services,Banks - Regional,2021,6.93,84.53516448633188,0.007737801599662995,11.332332508385573,6.1,17.747865266786167,0.013571084123649626,1.4549295201136596,0.04959643692349682,231505475381.4453,1804130000000.0,122.99270629882812
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate Services,2021,1.9,70.38821569338208,0.010877191508312291,1.4470505267893512,0.84,7.048838264063785,0.1941803454317056,0.1902703821909835,0.06272030178530624,18235893969.948242,238021000000.0,13.392792701721191
0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,2021,2.73,69.199133815716,0.023977655986509274,1.5625690344966623,1.8,9.841693277324076,0.18222655114264116,0.3882681930477099,0.06699463606123802,130077610034.84375,550304000000.0,26.867822647094727
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,2021,1.33,82.30397105857152,0.011782948378247126,1.3355293849917507,1.44,14.581119566035449,0.1589547851720583,0.23562519248343708,0.07425402158002309,19916690645.047485,117373000000.0,19.39288902282715
0018.HK,ORIENTAL E H,Communication Services,Publishing,2021,0.0881,0.8050819043170748,0.10143914914010731,1.074263266364192,0.08,6.355541112339051,0.003414311584024479,0.6954859735321405,0.14287674452669122,1342650972.5952148,2082411000.0,0.5599231719970703
0016.HK,SHK PPT,Real Estate,Real Estate - Development,2021,9.21,204.90684134854234,0.03359035884377445,1.3281929069119751,4.95,8.77971172850502,0.14892663284025118,0.3946239397736267,0.06121605127907073,234335587916.375,796419000000.0,80.86114501953125
0017.HK,NEW WORLD DEV,Real Estate,Real Estate - Diversified,2021,0.45,108.18842608119715,0.005476357464006836,2.0614499244557063,2.06,53.41033935546875,0.2905855002907137,0.22215548909014116,0.08570958044865996,60485608548.10547,627077400000.0,24.034652709960938
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,2021,2.24,331.44220526430234,0.011752095063431474,1.34623014646808,2.0,14.781936577388217,0.1535323997456773,0.09990139278413694,0.06040190594667667,26625219697.864258,435667000000.0,33.11153793334961
0023.HK,BANK OF E ASIA,Financial Services,Banks - Regional,2021,1.53,44.00804609403645,0.005807354513096851,7.819646704006893,0.59,6.011103337107141,0.014566872734084873,0.2089842408845371,0.06415143666757538,24189089945.42163,907470000000.0,9.196988105773926
0028.HK,TIAN AN,Real Estate,Real Estate - Development,2021,0.96,18.82267470096053,0.030308817692551,1.6727968975726255,0.2,3.818865120410919,0.17743385380265425,0.19477096501101404,0.054553729122257186,5374774702.255371,47192471000.0,3.6661105155944824
0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,2021,0.305,15.640319928099935,0.015558161817172409,1.2340573550134968,0.0,128.0194767185899,0.08172998679956842,2.4964924361309673,0.0,170821693568.18945,85243425000.0,39.04594039916992
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,2021,2.12,32.959092900673156,0.034414246954102855,1.761055233472653,0.54,3.7505637924626187,0.19230205315223686,0.24124435899928415,0.0679143177471002,2395440687.570572,18612989000.0,7.951195240020752
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,2021,-0.059,9.115126375660486,-0.0050755467985984055,1.253923701123139,0.02,-172.28942806437865,0.03661177931024528,1.1151876383131083,0.001967520901635307,2416279286.3082886,2771130000.0,10.16507625579834
